distance left (km),control stop,speed limit (km/h),height change (m)   ,bearing (deg)
2921              ,0           ,100               ,-1.54855495807019   ,186.6236680286
2920              ,0           ,100               ,-1.07212013270177   ,170.610269508939
2919              ,0           ,100               ,-0.786723210421037  ,175.027522654431
2918              ,0           ,100               ,0.314383265298211   ,189.173370825285
2917              ,0           ,100               ,0.0891504706666808  ,190.304618354227
2916              ,0           ,100               ,0.100850866561402   ,177.411436139308
2915              ,0           ,100               ,-0.00796360789470896,168.219448521214
2914              ,0           ,130               ,-0.718772586280714  ,124.683981185173
2913              ,0           ,130               ,-1.04731522126318   ,102.982092043536
2912              ,0           ,130               ,-1.40195255705265   ,109.983533414461
2911              ,0           ,80                ,-1.80227372547365   ,122.357596825191
2910              ,0           ,130               ,-1.53092049007019   ,131.773765919731
2909              ,0           ,130               ,-0.757952886456131  ,135.38159136102
2908              ,0           ,130               ,0.170433264245581   ,135.382527845013
2907              ,0           ,130               ,0.725971622070226   ,135.170102043237
2906              ,0           ,130               ,0.83552174080706    ,123.833931649062
2905              ,0           ,130               ,1.44875241957894    ,107.288002599359
2904              ,0           ,130               ,2.41380551863156    ,111.502746132474
2903              ,0           ,130               ,0.852163092070164   ,127.210396016939
2902              ,0           ,130               ,1.43390240108774    ,128.127947201036
2901              ,0           ,130               ,3.08546072764914    ,142.250761338439
2900              ,0           ,130               ,0.761201637719253   ,161.40898944024
2899              ,0           ,130               ,0.544014712491268   ,171.739598843917
2898              ,0           ,130               ,0.806857810947385   ,171.937405148408
2897              ,0           ,130               ,-1.56548033126322   ,180.189919826532
2896              ,0           ,130               ,0.631325810421068   ,184.456918566262
2895              ,0           ,130               ,3.95805114543855    ,168.999347874825
2894              ,0           ,130               ,1.95918459063166    ,147.589055008883
2893              ,0           ,130               ,1.95475702371925    ,126.04040160506
2892              ,0           ,130               ,0.066676476210489   ,108.356962604733
2891              ,0           ,130               ,-2.83136024884207   ,106.995558665498
2890              ,0           ,130               ,-0.414114380982369  ,121.379419690785
2889              ,0           ,130               ,2.18711434936833    ,130.130036766124
2888              ,0           ,130               ,4.78794861484205    ,129.983061012106
2887              ,0           ,130               ,3.41356072028078    ,125.660845605364
2886              ,0           ,130               ,5.68835061428074    ,124.26166471797
2885              ,0           ,130               ,1.74996413866666    ,124.261929336823
2884              ,0           ,130               ,-4.26641260607025   ,126.77672240184
2883              ,0           ,130               ,-2.16018649526316   ,133.834453145733
2882              ,0           ,130               ,-3.93175540287712   ,140.893720214308
2881              ,0           ,130               ,-2.40685880336845   ,148.184668796307
2880              ,0           ,130               ,1.79562693975436    ,153.421104035033
2879              ,0           ,130               ,6.53673962217543    ,153.986457372514
2878              ,0           ,130               ,6.93788615957898    ,154.029628802527
2877              ,0           ,130               ,7.9893042947719     ,153.223542026505
2876              ,0           ,130               ,4.09012701936844    ,130.775041616728
2875              ,0           ,130               ,-0.296985903087844  ,104.650897591172
2874              ,0           ,130               ,-5.06033888308765   ,102.651416833677
2873              ,0           ,130               ,-5.40654176217537   ,108.927228110921
2872              ,0           ,130               ,-2.4009658457544    ,143.080821206225
2871              ,0           ,130               ,-0.06019342340349   ,151.932262075552
2870              ,0           ,130               ,2.95802042498252    ,148.217016713235
2869              ,0           ,130               ,4.31270652010517    ,131.135145503681
2868              ,0           ,130               ,5.51358659540352    ,130.953408740881
